,Name_FG,Tm,mean_batspeed,mean_swinglength,attack_angle,PA,AB,AVG,OBP,SLG,OPS,wOBA,wRC+,Name_SC,batter_cluster
446,Sal Frelick,MIL,64.98636363636363,6.761229946524064,10.749991021780348,524,475,0.258947368,0.319845857,0.334736842,0.654582699,0.2920540520680892,85.8668503354287,"Frelick, Sal",8
447,TJ Friedl,CIN,68.75646551724138,6.514224137931034,10.298696464341669,341,297,0.225589225,0.309734513,0.38047138,0.690205893,0.3049820056707106,88.46584599144941,"Friedl Jr., TJ",8
448,Joey Gallo,WSN,71.80630630630631,7.101801801801801,24.990804015040823,260,223,0.161434977,0.276923076,0.336322869,0.613245945,0.2758006134858498,75.66305400482027,"Gallo, Joey",6
449,Ben Gamel,HOU,69.88363636363636,6.914545454545455,11.6331496685428,99,81,0.24691358,0.383838383,0.333333333,0.717171716,0.3266150878400218,114.53603737736135,"Gamel, Ben",7
450,Luis Garcia Jr.,WSN,71.13456464379948,7.171240105540897,8.735461773736501,528,500,0.282,0.318181818,0.444,0.762181818,0.3281335896412229,110.88673418137564,"García, Luis",5
451,Andres Gimenez,CLE,67.45369127516778,6.850111856823267,10.53563674252481,633,583,0.252144082,0.298412698,0.339622641,0.638035339,0.2814977787825943,83.04527976744255,"Giménez, Andrés",5
452,Nick Gordon,MIA,68.02444444444444,7.182777777777778,14.126234408128791,275,260,0.226923076,0.258181818,0.369230769,0.627412587,0.270811098055406,69.31897826582298,"Gordon, Nick",5
453,Nolan Gorman,STL,73.06340206185567,7.568556701030928,25.911401221795657,402,365,0.202739726,0.271144278,0.4,0.671144278,0.290496850846117,86.65867633861815,"Gorman, Nolan",5
454,Yasmani Grandal-L,PIT,69.90247933884298,7.385950413223141,10.229425204121045,183,160,0.225,0.309392265,0.4375,0.746892265,0.324002494469532,105.1556867684598,"Grandal, Yasmani",6
455,Riley Greene,DET,74.310888252149,7.074785100286532,19.110218986566927,584,512,0.26171875,0.34819897,0.478515625,0.826714595,0.3553962396136645,134.9744115098804,"Greene, Riley",6
