Name_FG,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,key_FG,key_MLB,Name_SC,year,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_swing_miss,out_zone_swing,out_zone_percent,out_zone,meatball_swing_percent,meatball_percent,pitch_count_offspeed,pitch_count_fastball,pitch_count_breaking,pitch_count,iz_contact_percent,in_zone_swing_miss,in_zone_swing,in_zone_percent,in_zone,edge_percent,edge,whiff_percent,swing_percent,f_strike_percent
Reese McGuire,BOS,51,158,139,29,23,3,0,3,10,18,13,0,39,2,3,1,4,3,0,0.208633093,0.082278481,0.246835443,0.333333333,0.280254777,0.294964028,0.575218805,0.086330935,0.26,11.915558010692624,-6.566977306847544,0.2585388627021935,59.85663237673645,1.102564102,0.18,0.43,0.39,0.076923076,0.076923076,0.046511627,0.25,0.38461538,0.36538462,0.25,0.25,0.5,0.25,15674.0,624512.0,"McGuire, Reese",2024.0,61.6,11.6,29.5,49.5,50.5,46.0,93.0,51.7,315.0,69.2,6.4,80.0,294.0,196.0,609.0,88.4,21.0,181.0,48.3,294.0,42.7,260.0,24.5,45.0,60.8
Jose Abreu,HOU,34,120,113,14,10,2,0,2,10,7,4,0,28,2,1,0,4,0,0,0.123893805,0.033333333,0.233333333,0.142857142,0.166666666,0.194690265,0.361356931,0.07079646,0.142857142,-0.1276584355033427,-14.16502703110347,0.1635177373886108,0.3575653156795391,1.642857142,0.139534883,0.53488372,0.325581395,0.035714285,0.071428571,0.0,0.0,0.26744186,0.45348837,0.27906977,0.15116279,0.61627907,0.23255814,15676.0,547989.0,"Abreu, José",2024.0,68.7,21.9,33.3,46.3,53.8,37.0,80.0,49.4,240.0,90.3,6.4,46.0,300.0,118.0,486.0,78.1,37.0,169.0,50.6,246.0,44.0,214.0,29.7,51.2,60.8
Rowdy Tellez,PIT,126,421,383,93,62,18,0,13,38,56,31,0,89,2,5,0,12,1,0,0.242819843,0.073634204,0.211401425,0.348314606,0.29928741,0.391644908,0.690932318,0.148825065,0.279720279,46.11613120142199,-3.13163695480846,0.3009369958041683,89.63102511555812,0.868217054,0.193979933,0.374581939,0.431438127,0.131782945,0.100775193,0.044642857,0.0,0.40468227,0.31772575,0.27759197,0.18729097,0.51170569,0.30100334,15679.0,642133.0,"Tellez, Rowdy",2024.0,58.8,11.5,27.4,44.5,55.1,101.0,227.0,49.6,827.0,71.6,7.0,298.0,944.0,348.0,1666.0,88.5,57.0,494.0,50.4,840.0,45.8,763.0,21.9,43.3,57.0
Tyler O'Neill,BOS,113,473,411,99,50,18,0,31,74,61,53,5,159,7,2,0,13,4,0,0.240875912,0.112050739,0.336152219,0.333333333,0.336152219,0.510948905,0.847101124,0.270072993,0.304932735,74.16980287099642,18.839174990005912,0.359664805042438,130.9906853790256,0.764705882,0.173228346,0.358267716,0.468503937,0.151260504,0.260504201,0.087912087,0.0,0.51968504,0.31496063,0.16535433,0.15354331,0.5,0.34645669,15711.0,641933.0,"O'Neill, Tyler",2024.0,65.2,24.4,26.2,55.8,44.2,153.0,274.0,52.8,1047.0,75.5,7.0,246.0,1078.0,490.0,1984.0,75.6,149.0,611.0,47.2,937.0,42.6,845.0,34.1,44.6,61.5
Tyler Wade,SDP,75,156,138,30,27,3,0,0,28,8,11,0,29,2,0,4,0,8,1,0.217391304,0.07051282,0.185897435,0.379310344,0.284768211,0.239130434,0.523898645,0.02173913,0.275229357,9.728341074734905,-8.520238099545262,0.2423201957285799,56.44147676430361,1.272727272,0.257425742,0.415841584,0.326732673,0.06060606,0.0,0.047619047,0.25,0.44247788,0.30973451,0.24778761,0.17699115,0.6460177,0.17699115,15730.0,642180.0,"Wade, Tyler",2024.0,62.4,11.4,25.7,44.0,54.7,33.0,75.0,49.7,292.0,83.7,7.3,93.0,343.0,127.0,587.0,86.4,21.0,184.0,50.3,295.0,41.2,242.0,20.8,44.1,60.9
Miguel Andujar,OAK,75,319,302,86,67,14,1,4,31,30,13,0,42,3,1,0,10,3,2,0.284768211,0.040752351,0.131661442,0.309523809,0.319749216,0.377483443,0.697232659,0.092715232,0.319066147,36.18708578132248,-1.1289190686478607,0.3057821045474946,102.85426513893356,1.578313253,0.180076628,0.501915708,0.318007662,0.144578313,0.048192771,0.099236641,0.0,0.40229885,0.3256705,0.27203065,0.24137931,0.55172414,0.20689655,15878.0,609280.0,"Andujar, Miguel",2024.0,66.2,7.0,35.8,31.5,68.5,69.0,219.0,52.0,611.0,72.9,7.2,144.0,572.0,351.0,1176.0,93.0,26.0,374.0,48.0,565.0,41.7,490.0,16.0,50.4,63.3
Luis Torrens,NYM,42,130,118,27,16,8,0,3,14,15,9,0,28,2,1,0,5,0,1,0.228813559,0.069230769,0.215384615,0.321428571,0.292307692,0.372881355,0.665189047,0.144067796,0.272727272,13.28438378429518,-1.92276552760496,0.2918025718285487,89.58334737370802,1.392857142,0.263736263,0.428571428,0.307692307,0.142857142,0.107142857,0.025641025,0.0,0.37362637,0.37362637,0.25274725,0.12087912,0.48351648,0.3956044,15905.0,620443.0,"Torrens, Luis",2024.0,67.6,15.4,24.7,40.3,59.7,25.0,62.0,49.2,251.0,73.9,9.0,56.0,248.0,178.0,510.0,84.6,27.0,175.0,50.8,259.0,42.4,216.0,21.9,46.5,59.2
Aledmys Diaz,2 Tms,12,34,33,3,3,0,0,0,2,1,1,0,9,0,0,0,0,0,0,0.09090909,0.029411764,0.264705882,0.111111111,0.117647058,0.09090909,0.208556148,0.0,0.125,-1.827258193966677,-5.804512629386713,0.0980665543500114,-41.8171992639642,1.857142857,0.166666666,0.541666666,0.291666666,0.285714285,0.0,0.0,0.0,0.58333333,0.20833333,0.20833333,0.20833333,0.45833333,0.33333333,15937.0,649557.0,"Díaz, Aledmys",2024.0,70.0,11.9,42.9,45.8,54.2,11.0,24.0,48.3,56.0,69.2,11.2,12.0,73.0,23.0,116.0,88.1,5.0,42.0,51.7,60.0,40.5,47.0,24.2,56.9,76.5
Willy Adames,MIL,161,688,610,153,88,33,0,32,93,112,74,3,173,1,3,0,12,21,4,0.250819672,0.107558139,0.251453488,0.427745664,0.331395348,0.462295081,0.793690429,0.211475409,0.296568627,98.06381335588893,17.582900074448172,0.3419318153910393,119.43800398037838,0.630136986,0.188636363,0.313636363,0.497727272,0.114155251,0.146118721,0.079710144,0.0,0.45227273,0.33636364,0.21136364,0.16363636,0.51136364,0.325,15986.0,642715.0,"Adames, Willy",2024.0,71.2,21.1,28.1,50.5,49.2,196.0,388.0,50.5,1381.0,82.7,7.2,265.0,1654.0,621.0,2733.0,78.8,203.0,964.0,49.5,1353.0,42.6,1166.0,29.5,49.5,59.9
Cody Bellinger,CHC,130,569,516,137,93,23,3,18,72,78,45,7,89,3,5,0,10,9,2,0.265503875,0.079086115,0.156414762,0.505617977,0.32513181,0.426356589,0.751488399,0.160852714,0.287439613,71.89068459512491,5.330161837654315,0.3218178371517683,108.81758251427196,0.8040201,0.168981481,0.37037037,0.460648148,0.085427135,0.090452261,0.10625,0.0,0.42592593,0.33796296,0.23611111,0.17361111,0.55324074,0.27314815,15998.0,641355.0,"Bellinger, Cody",2024.0,67.1,16.0,32.4,35.0,65.0,118.0,337.0,49.9,1039.0,77.1,7.5,303.0,1176.0,472.0,2083.0,84.0,112.0,701.0,50.1,1044.0,43.2,899.0,22.2,49.8,59.1
Austin Slater,3 Tms,80,212,177,37,31,4,0,2,24,18,26,0,60,5,4,0,5,3,2,0.209039548,0.122641509,0.283018867,0.433333333,0.320754716,0.265536723,0.586291439,0.056497175,0.294117647,18.52984092318208,-6.26951026237815,0.2734358378176419,76.36256352605918,2.36,0.282051282,0.504273504,0.213675213,0.04,0.08,0.084745762,0.75,0.33884298,0.33057851,0.33057851,0.11570248,0.58677686,0.29752066,16153.0,596103.0,"Slater, Austin",2024.0,66.2,24.7,18.6,48.8,51.2,39.0,80.0,48.8,430.0,82.8,7.3,122.0,567.0,144.0,882.0,73.9,74.0,299.0,51.2,452.0,39.1,345.0,29.8,43.0,61.8
J.D. Davis,2 Tms,46,157,142,31,22,5,0,4,13,6,12,0,39,3,0,0,5,0,0,0.218309859,0.076433121,0.248407643,0.307692307,0.29299363,0.338028169,0.631021799,0.11971831,0.272727272,14.82444805437552,-3.541109191534648,0.2821557669882562,85.67779743002278,2.64,0.116504854,0.640776699,0.242718446,0.08,0.16,0.106060606,0.0,0.40776699,0.36893204,0.22330097,0.15533981,0.55339806,0.29126214,16219.0,605204.0,"Davis, J.D.",2024.0,74.4,31.1,24.7,47.8,52.2,32.0,67.0,46.2,271.0,80.8,8.9,71.0,346.0,133.0,587.0,68.9,73.0,235.0,53.8,316.0,41.6,244.0,34.8,51.4,65.0
Trea Turner,PHI,121,539,505,149,103,25,0,21,88,62,27,0,98,6,1,0,10,19,4,0.295049504,0.050092764,0.181818181,0.275510204,0.337662337,0.46930693,0.806969267,0.174257426,0.330749354,79.92134567935344,16.870165070782857,0.3490665514084315,124.02274788085492,1.295302013,0.161764705,0.473039215,0.365196078,0.073825503,0.140939597,0.10880829,0.0,0.46078431,0.31862745,0.22058824,0.13480392,0.52696078,0.33823529,16252.0,607208.0,"Turner, Trea",2024.0,74.8,14.2,33.9,51.0,49.0,182.0,357.0,51.5,1052.0,82.5,7.8,264.0,1029.0,592.0,2043.0,85.8,105.0,741.0,48.5,991.0,41.3,844.0,26.1,53.7,66.6
